company_name;website;sector;country;revenue_euros;employees;founded
BASELABS;https://baselabs.de;Automobiles;Germany;2M;27;2012
Rendimiento Verde;https://rendimientoverde.com;Support Services;Spain;3M;12;2006
Adyoulike;https://adyoulike.com;Advertising;France;13M;80;2011
OEM Defence Services;https://oemdefenceservices.com;Aerospace & Defence;France;31M;8;2008
Kleine Riesen Nord;https://littlegiants.de;Education;Germany;4M;90;2011
zadego;https://easybooking.at;Travel & Leisure;Austria;2M;57;2008
Better Globe;https://betterglobe.com;Agricultural commodities;Norway;3M;2;2006
Reanova;https://reanova.fr;Construction;France;1M;17;2010
Taksee;https://taksee.com;Transport;Spain;4M;9;2010
BlueGlass Interactive UK;https://blueglass.co.uk;Sales & Marketing;United Kingdom;1M;14;2012
50 Factory;https://50factory.com;Automobiles;France;1M;13;2010
Incubethic;https://incubethic.fr;Energy;France;2M;15;2009
SIRE Life Sciences;https://sire-search.com;Management Consulting;The Netherlands;8M;60;2012
Psykoterapiakeskus Vastaamo;https://vastaamo.fi;Health;Finland;5M;160;2008
OptiFol;https://optifol.de;Industrial Goods;Germany;6M;7;2012
Deporvillage;https://deporvillage.com;Ecommerce;Spain;22M;45;2010
New Wave Capital;https://capitalontap.com;Fintech;United Kingdom;10M;71;2012
Disko;https://disko.fr;Media;France;10M;93;2010
Ingenova Norte;https://ingenova.pro;Construction;Spain;6M;34;2010
Zopa;https://zopa.com;Fintech;United Kingdom;40M;188;2004
Wabel;https://wabel.com;Retail;France;3M;30;2010
BMF Bauwerkerhaltungs;https://bmf-beton.de;Construction;Germany;6M;15;2008
BBB (Good Goût);https://goodgout.fr;Agricultural commodities;France;9M;24;2010
ASAP Italia;https://superscommesse.it;Media;Italy;1M;31;2010
Ecogreenenergy;https://ecogreenenergy.fr;Waste management & recycling;France;2M;17;2008
89grad;https://89grad.ch;Technology;Switzerland;3M;22;2010
Easybill (Sellsy);https://sellsy.fr;Technology;France;2M;39;2009
Clean Air Technologies;https://catsas.com;Support Services;France;2M;7;2011
Movetia Digital;https://movetia.com;Fintech;Spain;2M;47;2011
Hexad;https://hexad.de;Technology;Germany;18M;45;2010
Ego Bodegas;https://egobodegas.com;Food & Beverage;Spain;3M;9;2011
Planiv Projektbau;https://planiv-projektbau.de;Construction;Germany;3M;6;1999
Younited Credit;https://younited-credit.com;Fintech;France;9M;190;2009
Rokla*;https://rockwheel.com;Industrial Goods;Germany;4M;18;2013
Enpire;https://enpire.pl;Transport;Poland;4M;55;2011
JFR;https://jfr-sas.fr;Construction;France;6M;33;2006
Eurotone;https://druckertanke-berlin.de;Ecommerce;Germany;2M;17;2005
Iprotect;https://iprotect.de;Ecommerce;Germany;18M;45;2011
Hartung & Ludwig;https://hartung-ludwig.de;Construction;Germany;2M;27;2009
Catapult Enterprises (Propercorn);https://propercorn.com;Food & Beverage;United Kingdom;12M;39;2011
Lovli;https://lovli.it;Sales & Marketing;Italy;1M;11;2012
Ethica Corporate Finance;https://ethica-group.com;Financial Services;Italy;5M;10;2009
Terma Energia;https://termaenergia.it;Industrial Goods;Italy;1M;17;2006
IN AUDITO;https://inaudito.de;Advertising;Germany;6M;19;2011
Comcertrans*;https://n/a;Agricultural commodities;Spain;4M;5;2013
SupperFood;https://supperfood.nl;Food & Beverage;The Netherlands;5M;8;2008
easysparen;https://easybution.de;Retail;Germany;25M;11;2009
Stüve Straßenbau;http://www.stueve-strassenbau.de/;Construction;Germany;2M;18;1995
Districlos Holding;https://districlos.com;Retail;France;5M;30;2010
Universal Iberland;https://universaliberland.com;Food & Beverage;Spain;16M;3;2004
Giglio.com;https://giglio.com;Ecommerce;Italy;5M;15;2007
Treasury Intelligence Solutions;https://tis.biz;Technology;Germany;4M;63;2010
Thodacon Werkzeugmaschinenschutz;https://thodacon.de;Industrial Goods;Germany;3M;9;2012
Alps Residence Holidayservice;https://alps-residence.com;Travel & Leisure;Austria;4M;40;2011
neusta consulting;https://neusta-consulting.de;Support Services;Germany;52M;36;2007
Expera Conseils Holding;https://experaconseils.fr;Management Consulting;France;1M;14;2010
Stadtkiosk Julius Frilling*;https://stadtkiosk-frilling.de;Retail;Germany;2M;43;2013
ThinClient24;https://thinclient24.eu;Retail;Germany;5M;11;2011
English Worldwide;https://abaenglish.com;Education;Spain;9M;71;2007
Vizolution;https://vizolution.co.uk;Technology;United Kingdom;4M;93;2008
Ebury;https://ebury.com;Financial Services;United Kingdom;43M;387;2009
I-Directo Mayorista;https://idirecto.es;Retail;Spain;9M;10;2012
Fekra Consulting;https://fekra-group.com;Management Consulting;France;3M;38;2008
Sarigato sp. z. o.o.;https://sarigato.com;Advertising;Poland;2M;42;2011
Digilinx;https://http:/www.digilinx.fr/;Support Services;France;2M;6;2011
Riccardo Retail*;https://riccardo-zigarette.de;Retail;Germany;12M;47;2013
Hanzo Studio;https://hanzo.es;Technology;Spain;4M;19;2009
FJ Trading*;https://jomodo.de;Ecommerce;Germany;9M;8;2013
ViennaEstate Immobilien AG;https://http:/www.viennaestate.com/;Property;Austria;2M;9;2008
Experium Nax Group;https://experium-nax.com;Management Consulting;France;2M;16;2012
Nettbureau AS;https://nettbureau.no;Ecommerce;Norway;2M;8;2011
Matooma;https://matooma.com;Telecoms;France;5M;29;2012
Grupa TENSE;https://grupa-tense.pl;Advertising;Poland;1M;60;2011
Drone Volt;https://dronevolt.com;Aerospace & Defence;France;6M;36;2011
SNS - Saturn Networking Solutions;https://sns.at;Technology;Austria;4M;5;1997
e-Novia;https://e-novia.it;Technology;Italy;2M;39;2012
Accentro Real Estate;https://accentro.ag;Property;Germany;156M;33;1993
LEAD energy;https://lead-energy.com;Retail;Germany;4M;24;2003
TEAMWILLE;https://teamwille.com;Management Consulting;Germany;5M;45;2004
Mucaj Tiefbau;https://mucaj.de;Construction;Germany;2M;26;1979
Instantor;https://instantor.com;Fintech;Sweden;1M;30;2010
O2Feel Bikes;https://o2feel.com;Personal & Household Goods;France;6M;16;2010
Quill Content;https://quillcontent.com;Sales & Marketing;United Kingdom;3M;29;2011
Termotecnica Cavatton*;https://n/a;Construction;Italy;3M;22;2013
Forsis;https://forsis.fr;Financial Services;France;3M;10;2009
Memodo*;https://memodo.de;Energy;Germany;20M;20;2013
TouchNote;https://touchnote.com;Ecommerce;United Kingdom;6M;16;2007
Smartadserver;https://smartadserver.com;Advertising;France;65M;172;2005
Delta Capita;https://deltacapita.com;Management Consulting;United Kingdom;5M;60;2009
Deinoa;https://deinoasl.com;Construction;Spain;2M;64;2012
Neomouv;https://neomouv.com;Personal & Household Goods;France;7M;12;2009
Kinderpflegedienst.com Karlsruhe;https://kinderpflegedienst.com;Health;Germany;4M;198;2012
Vitedelair;https://vitedelair.com;Media;France;1M;9;2011
Emmetek*;https://emmeteksrl.it;Industrial Goods;Italy;2M;14;2013
COYO;https://coyoapp.com;Technology;Germany;4M;42;2010
Herring GmbH;https://herring-spareparts.com;Automobiles;Germany;8M;7;2011
FMB Engineering*;https://fmb-e.de;Telecoms;Germany;4M;36;2013
Young Digitals;https://youngdigitals.com;Advertising;Italy;2M;50;2010
Emmayli;https://mamagetzner.com;Retail;France;8M;12;2011
eRowz;https://erowz.com;Advertising;Belgium;2M;17;2011
Boycor;https://boycor.com;Management Consulting;Spain;3M;134;2005
Les Films Du Worso;https://lesfilmsduworso.com;Media;France;10M;7;2003
Median Technologies;https://mediantechnologies.com;Technology;France;6M;93;2002
STX Next Sp. Zo.o;https://stxnext.com;Technology;Poland;8M;246;2005
The Lead Agency;https://theleadagency.com;Sales & Marketing;United Kingdom;5M;90;2002
Enloc;https://enloc.de;Energy;Germany;6M;12;2009
LG Invest;https://lginvest.it;Telecoms;Italy;1M;50;2012
Intenta;https://intenta.de;Technology;Germany;11M;160;2010
KBS Group;https://kbs-group.de;Support Services;Germany;11M;400;2010
EPI Group;https://epigroupe.com;Support Services;France;5M;12;2002
Logisan;https://logisan.it;Health;Italy;19M;11;2004
Yogurt Factory;https://yogurtfactory.fr;Agricultural commodities;France;2M;35;2012
Metsys;https://metsys.fr;Technology;France;10M;80;2011
Hypertec Solution;https://hypertecs.it;Industrial Goods;Italy;4M;87;2011
Clabrun;https://clabrun.it;Retail;Italy;3M;23;2000
Media Interactiva Software;https://mediainteractiva.com;Technology;Spain;2M;39;2010
