company_name;website;sector;country;revenue_euros
Contipro;www.contipro.com;Pharmaceutical/Science;Czech Republic;20M to 30M
Cool Gray A/S;www.coolgray.dk;Marketing;Denmark;20M to 30M
Cooperative Bureau Couecou ;www.couecou.fr;Wholesale;France;20M to 30M
Cooperative la Tricherie or La Tricherie ;www.cooptricherie.fr;Agriculture/Farming/Forestry;France;30M to 40M
Corby Rock Mill;www.corbyrock.ie;Agriculture/Farming/Forestry;Ireland;50M to 75M
Cosmos Sport;www.cosmossport.gr;Retail;Greece;20M to 30M
Couro Azul;www.couroazul.pt;Motor Vehicle Retail;Portugal;50M to 75M
Cramer;www.cramer-edeka.de;Wholesale;Germany;100M to 150M
Crisp Malting Group;www.crispmalt.co;Food & Drink;United Kingdom;150M to 250M
Cristaltec;www.cristaltec.it;Electronics;Italy;30M to 40M
Cruard Charpente et Construction Bois;www.cruard-charpente.com;Construction/Property;France;20M to 30M
Crystalite Bohemia;www.crystalite.org;Manufacturing;Czech Republic;40M to 50M
Cyber Group Studios;www.cybergroupstudios.com;Media;France;20M to 30M
CYEB;www.cyeb.eu;Energy;Hungary;75M to 100M
Daltys;www.daltys.com;Wholesale;France;20M to 30M
Daniel Wellington;www.danielwellington.com;Retail;Sweden;150M to 250M
Darekon;www.darekon.fi;Manufacturing;Finland;30M to 40M
D'arpeje;www.darpeje.com;Manufacturing;France;20M to 30M
DAS Enviromental Experts;www.das-ee.com;Environmental Services;Germany;75M to 100M
David Wood Baking Ltd;www.davidwoodfoods.com;Food & Drink;United Kingdom;75M to 100M
dbfoods ltd;www.dbfoods.co.uk;Wholesale;United Kingdom;100M to 150M
De Jong Verpakking BV;www.dejongverpakking.com;Packaging facilities;Netherlands;150M to 250M
De Jong Zuurmond Infrabeheer, Onderhoud & Services BV.;www.dejongzuurmond.nl;Manufacturing;Netherlands;50M to 75M
Decora;www.decora.co.uk;Manufacturing;United Kingdom;50M to 75M
Deep Sea Electronics;www.deepseaplc.com;Manufacturing;United Kingdom;40M to 50M
Delicia;www.delicia.nl;Food & Drink;Netherlands;50M to 75M
Demensen;www.demensen.be;Media;Belgium;40M to 50M
Demeter-Felderzeugnisse;www.felderzeugnisse.de;Wholesale;Germany;30M to 40M
Den Berk;www.denberk-delice.be;Food & Drink;Belgium;20M to 30M
Derrycourt Cleaning Specialists;www.derrycourt.ie;Cleaning Services;Ireland;20M to 30M
DFM SP Z.O.O;www.dfm.pl;Manufacturing;Poland;75M to 100M
DFV Mediengruppe;www.dfv.de;Media;Germany;100M to 150M
Diadeis MK;www.diadeis.com;Marketing;France;20M to 30M
DiaDom;www.diadom.com;Consumer Services;France;20M to 30M
Diamond House;www.diamondhouse.be;Retail;Belgium;30M to 40M
Digicom;www.b810group.it;Technology;Italy;20M to 30M
Dimo Software;www.dimosoftware.fr;IT Technology;France;20M to 30M
Distriboissons ;www.distriboissons.com;Wholesale;France;50M to 75M
DistriWan;www.distriwan.fr;IT Technology;France;20M to 30M
Dixon Transport;www.dixontransport.com;Transportation;Ireland;20M to 30M
Dobrogea Grup;www.dobrogeagrup.ro;Food & Drink;Romania;30M to 40M
Domaine De Coteaux;www.domaine-coteaux.com;Wholesale;France;20M to 30M
Dorfner Gruppe;www.dorfner-gruppe.de;Facilities Services;Germany;100M to 150M
DOT A/S;www.dot-nordic.com;Engineering;Denmark;50M to 75M
Doumen ;www.doumen.fr;Logistics;France;50M to 75M
DPSA;www.dpsa-securite.fr;Security;France;20M to 30M
Dr Frohn;www.dr-frohn.de;Manufacturing;Germany;20M to 30M
Düllberg Konzentra ;www.duellberg-konzentra.de;Chemicals;Germany;40M to 50M
Dunea;www.dunea.nl;Utilities;Netherlands;100M to 150M
Durbin PLC;www.durbinglobal.com;Health;United Kingdom;75M to 100M
Dynami Group;www.dynami-aviation.com;Aviation Services;France;20M to 30M
E.E. Smith Contracts Limited;www.eesmith.co.uk;Design;United Kingdom;40M to 50M
Eckerle;www.eckerle.com;Manufacturing;Germany;40M to 50M
Edenhouse Solutions LTD;www.edenhousesolutions.co.uk;IT Technology;United Kingdom;40M to 50M
EGEO;www.egeo.pt;Environmental Services;Portugal;50M to 75M
EK/Servicegroup;www.ek-servicegroup.de;Wholesale;Germany;150M to 250M
Ekibo group;www.ekibio.fr;Wholesale;France;75M to 100M
Elbek & Vejrup A/S;www.elbek-vejrup.dk;IT Technology;Denmark;10M to 20M
Electtronica;www.mbelettronica.com;Electronics;Italy;30M to 40M
Elektro Rösler;www.elektro-roesler.de;Technology;Germany;20M to 30M
Elettrosud ;www.elettrosud-group.com;Manufacturing;Italy;30M to 40M
Elexys;www.elexys.be;Utilities;Belgium;50M to 75M
ELVIAL;www.elvial.gr;Manufacturing;Greece;50M to 75M
ELVIM SIA;www.elvim.lv;Health;Latvia;30M to 40M
Emicela, S.A.;www.emicela.es;Food & Drink;Spain;100M to 150M
EMZ;www.emz-hanauer.de;Electronics;Germany;75M to 100M
Endava Ltd;www.endava.com;IT Technology;United Kingdom;100M to 150M
Energifabriken;www.energifabriken.se;Energy;Sweden;20M to 30M
Enza Zaden Beheer B.V.;www.enzazaden.com;Consumer services;Netherlands;150M to 250M
EP S.p.A.;www.epspa.it;Food & Drink;Italy;100M to 150M
EPS Global;www.epsglobal.com;Electronics;Ireland;30M to 40M
Equip Outdoor technologies UK Ltd;www.equipuk.com;Clothing (Manufacturing);United Kingdom;40M to 50M
Erhardt+Leimer;www.erhardt-leimer.com;Technology;Germany;75M to 100M
Ernesto Ventós S.A.;www.ventos.com;Chemicals;Spain;100M to 150M
Errigal Bay;www.errigalbay.com;Wholesale;Ireland;20M to 30M
Esband;www.esband.de;Manufacturing;Germany;40M to 50M
Espace 4 Retail;www.espace4.fr;Construction/Property;France;50M to 75M
Eurocircuits;www.eurocircuits.com;Electronics;Belgium;20M to 30M
Eurofirms;www.eurofirms.es;Professional Services;Spain;150M to 250M
Eurogast Grissemann;www.grissemann.at;Wholesale;Austria;50M to 75M
Eurol BV.;www.eurol.com;Chemicals;Netherlands;50M to 75M
Europlant;www.europlant.biz;Food & Drink;Germany;100M to 150M
Everyone Active;www.everyoneactive.com;Fitness & Health;United Kingdom;150M to 250M
Evolution Foods ;www.evolutionfoods.co.uk;Food & Drink;United Kingdom;50M to 75M
Evopharm s.r.o;www.evopharm.eu;Pharmaceutical/Science;Slovakia;40M to 50M
Evros;www.evros.ie;IT Technology;Ireland;50M to 75M
Factory Systemes;www.factorysystemes.fr;IT Technology;France;30M to 40M
FAM;www.fam.be;Machining;Belgium;20M to 30M
Famadesa;www.famadesa.es;Food & Drink;Spain;150M to 250M
Farko SP. Z.O.O.;www.fakro.pl;Manufacturing;Poland;100M to 150M
Fastec;www.fastec.se;Construction/Property;Sweden;75M to 100M
Faure Technologies;www.faure-technologies.com;Wholesale;France;20M to 30M
Favor AS;www.favor.ee;Manufacturing;Estonia;20M to 30M
Fayard A/S;www.fayard.dk;Manufacturing & Engineering;Denmark;100M to 150M
