,Unnamed: 0,ticker,name,website,headquarter,employees,industry,type,source
1676,1676,BILL,BillerudKorsnas AB (BILL),www.billerudkorsnas.com,"Evenemangsgatan 17 PO Box 703 Solna, 169 27 Sweden",4398,Containers & Packaging,ORD,investing
1677,1677,GMAB,Genmab (GMAB),www.genmab.com,"Kalvebod Brygge 43 Copenhagen, 1560 Denmark",1136,Biotechnology,ORD,investing
1678,1678,TUIGn,Tui AG NA (TUIGn),www.tuigroup.com/de-de,"Karl-Wiechert-Allee 4 Hanover, 30625 Germany",46518,"Hotels, Restaurants & Leisure",ORD,investing
1679,1679,ATTE,Attendo International publ AB (ATTE),www.attendo.com,"VendevAegen 85 Danderyd, 182 91 Sweden",25000,Health Care Providers & Services,ORD,investing
1680,1680,MEKO,Mekonomen AB (MEKO),www.mekonomen.com,"SolnavAegen 4 11th Floor Stockholm, 113 65 Sweden",5053,Specialty Retail,ORD,investing
1681,1681,NPSNY,Naspers Ltd ADR (NPSNY),www.naspers.com,"40 Heerengracht Cape Town, 8001 South Africa",-,Internet & Direct Marketing Retail,ADR,investing
1682,1682,TM17,Team17 (TM17),www.team17group.com,"3 Red Hall Avenue Paragon Business Park Wakefield, WF1 2UL United Kingdom",262,Entertainment,ORD,investing
1683,1683,CHRY,Chrysalis Investments Ltd (CHRY),www.chrysalisinvestments.co.uk,"The Zig Zag Building 70 Victoria Street London, SW1E 6SQ United Kingdom",-,Capital Markets,ORD,investing
1684,1684,DPLM,Diploma PLC (DPLM),www.diplomaplc.com,"12 Charterhouse Square London, EC1M 6AX United Kingdom",2007,Trading Companies & Distributors,ORD,investing
1685,1685,NCSPq,Novorossiyskiy Morskoy Torgovyi Port PAO DRC (NCSPq),www.nmtp.info,"2 Ul. Mira Novorossiysk, 353900 Russia",6988,Transportation Infrastructure,DRC,investing
1686,1686,BKOM,Komercni Banka (BKOM),www.kb.cz,"Na PrIkope 33 Prague 1 Prague, 114 07 Czech Republic",6754,Banks,ORD,investing
1687,1687,SUN,Sulzer AG (SUN),www.sulzer.com,"Neuwiesenstrasse 15 Winterthur, 8401 Switzerland",15574,Machinery,ORD,investing
1688,1688,ABIO,Albioma SA (ABIO),www.albioma.com,"Tour Opus 12 77 esplanade du Général de Gaulle La Défense Cedex Paris, 92914 France",558,Independent Power and Renewable Electricity Producers,ORD,investing
1689,1689,EUA,Eurasia Mining (EUA),www.eurasiamining.co.uk,"Clubhouse Holborn 20 St Andrew Street London, EC4A 3AG United Kingdom",-,Metals & Mining,ORD,investing
1690,1690,PRU,Prudential PLC (PRU),www.prudentialplc.com,"1 Angel Court London, EC2R 7AG United Kingdom",16226,Insurance,ORD,investing
1691,1691,URW,WFD Unibail Rodamco NV (URW),www.urw.com,"7 place du Chancelier Adenauer CS 31622 Cedex 16 Paris, 75772 France",3049,Equity Real Estate Investment Trusts (REITs),ORD,investing
1692,1692,SOBIV,Swedish Orphan Biovitrum AB (SOBIV),www.sobi.com,"Tomtebodavägen 23A Solna, 112 76 Sweden",1532,Biotechnology,ORD,investing
1693,1693,SIGSI,Signature Aviation PLC (SIGSI),www.signatureaviation.com,"105 Wigmore Street London, W1U 1QY United Kingdom",6469,Transportation Infrastructure,ORD,investing
1694,1694,CARLb,Carlsberg A/S B (CARLb),www.carlsberggroup.com,"1 J. C. Jacobsens Gade Copenhagen V Copenhagen, 1799 Denmark",40000,Beverages,ORD,investing
1695,1695,HWDN,Howden Joinery Group Plc (HWDN),www.howdenjoinerygroupplc.com,"40 Portman Square London, W1H 6LT United Kingdom",10004,Trading Companies & Distributors,ORD,investing
1696,1696,CLSH,CLS Holdings PLC (CLSH),www.clsholdings.com,"16 Tinworth Street London, SE11 5AL United Kingdom",116,Real Estate Management & Development,REIT,investing
1697,1697,BAMI,Banco Bpm SpA (BAMI),www.bancobpm.it,"Piazza Nogara, 2 Verona, 37121 Italy",20565,Banks,ORD,investing
1698,1698,PETSP,Pets at Home Group PLC (PETSP),investors.petsathome.com,"Epsom Avenue Stanley Green Trading Estate Handforth, SK9 3RN United Kingdom",10004,Specialty Retail,ORD,investing
1699,1699,ANA,Acciona (ANA),www.acciona.com,"Avda. de Europa, 18 Parque Empresarial La Moraleja Alcobendas, 28108 Spain",38967,Electric Utilities,ORD,investing
1700,1700,MXCT,MaxCyte Inc (MXCT),www.maxcyte.com,"22 Firstfield Road Suite 110 Gaithersburg, 20878 United States",65,Life Sciences Tools & Services,ORD,investing
1701,1701,LXIL,LXi REIT PLC (LXIL),www.lxireit.com,"Mermaid House 2 Puddle Dock London, EC4V 3DB United Kingdom",-,Equity Real Estate Investment Trusts (REITs),REIT,investing
1702,1702,PEUG,Peugeot Invest SA (PEUG),www.groupe-ffp.fr/en,"66 avenue Charles de Gaulle CS 60049 Neuilly-sur-Seine, 92522 France",17,Diversified Financial Services,ORD,investing
1703,1703,IBE,Iberdrola (IBE),www.iberdrola.com,"Plaza Euskadi 5 Bilbao, 48009 Spain",39569,Electric Utilities,ORD,investing
1704,1704,ALFA,Alfa Laval AB (ALFA),www.alfalaval.com,"Rudeboksvägen 1 Lund, 226 55 Sweden",17678,Machinery,ORD,investing
1705,1705,PNL,Personal Assets Trust (PNL),www.patplc.co.uk,"33 Davies Street London, W1K 4BP United Kingdom",-,Capital Markets,Closed-End,investing
1706,1706,PROX,Proximus NV (PROX),www.proximus.com,"Proximus Towers Boulevard du Roi Albert II, 27 B Brussels, 1030 Belgium",11484,Diversified Telecommunication Services,ORD,investing
1707,1707,POLR,Polar Capital Holdings plc (POLR),www.polarcapital.co.uk,"4 Matthew Parker Street London, SW1H 9NP United Kingdom",185,Capital Markets,ORD,investing
1708,1708,AGES,Ageas (AGES),www.ageas.com,"Rue du Marquis 1/Markiesstraat 1 Box 7 Brussels, 1000 Belgium",10045,Insurance,ORD,investing
